Speed,Angle,Rim_Center_X
105,61.58,569
75.95,66.41,386
105,63.89,409
89.86,55.89,249
74.49,65.91,246
105,35.54,453
105,41.72,427
79.33,68.09,243
105,43.18,459
86.58,63.67,370
105,46.81,558
105,38.11,543
105,52.79,417
99.1,63.64,290
105,38.98,481
105,59.74,403
105,59.59,599
105,80.54,201
105,68.92,359
105,44.77,541
105,63.64,484
105,74.33,449
105,77.34,415
105,39.38,513
105,91.5,225
105,73.13,418
105,74.99,309
105,83.51,222
105,48.21,553
105,64.98,308
105,62.84,363
74.57,80.74,308
105,55.43,415
105,47.0,540
105,62.12,349
105,40.33,540
105,83.71,207
105,48.75,554
105,56.71,454
105,56.8,414
105,42.8,548
105,66.74,359
105,60.21,397
59.01,74.27,230
105,31.18,580
105,60.39,352
105,43.94,414
105,58.03,324
105,37.58,536
105,69.72,284
105,50.18,574
105,63.78,598
105,67.28,488
105,82.46,263
105,69.12,390
105,65.42,484
105,74.91,260
105,49.96,570
105,61.57,543
105,75.79,328
105,82.44,302
105,59.47,465
105,79.76,262
105,69.83,354
105,85.46,292
105,63.03,418
105,74.49,307
105,74.24,245
105,52.59,500
105,44.73,591
105,76.03,455
105,62.64,403
105,78.89,341
105,81.84,206
105,71.0,311
105,65.69,518
105,60.06,550
105,48.26,597
105,79.51,385
105,65.48,465
105,66.19,482
105,62.64,521
105,82.59,274
105,66.8,470
105,63.34,488
105,79.8,284
105,77.01,317
105,72.81,390
105,66.65,441
105,84.29,272
105,66.55,511
105,86.04,206
105,83.16,225
105,69.54,459
105,63.76,562
105,81.97,234
105,63.7,543
105,78.41,268
105,73.87,360
105,72.07,378
105,65.27,560
105,76.69,332
105,62.67,465
105,72.0,505
105,57.12,543
105,79.84,219
105,57.77,569
105,68.23,549
105,66.54,493
105,78.43,265
105,42.87,597
105,76.99,290
105,59.56,514
105,78.4,311
105,65.29,479
105,51.85,548
105,84.86,206
105,74.81,280
105,63.53,445
105,58.8,541
